Family,Species,Sex,Body Length Total,Ceph Length,Ceph Width,Abdom Length,Abdom Width,Leg I Fe,Leg I Pa,Leg I Ti,Leg I Mt,Leg I Ta,Leg II Fe,Leg II Pa,Leg II Ti,Leg II Mt,Leg II Ta,Leg III Fe,Leg III Pa,Leg III Ti,Leg III Mt,Leg III Ta,Leg IV Fe,Leg IV Pa,Leg IV Ti,Leg IV Mt,Leg IV Ta
Zodariidae,Habronestes bradleyi,F,6.525,2.9,1.75,3.625,2.75,1.875,0.5,1.55,1.75,1.375,1.9,0.65,1.575,1,NA,2.125,0.5,1.725,2.35,1.375,2.625,0.8,2.4,3.6,1.875
Lycosidae,Venatrix australiensis,M,15.5,8.1,4.75,7.4,5.8,6.6,3,5.1,5.55,3.2,5.8,2.5,4.75,5.05,3.05,5.5,1.5,3,4.5,1.8,6.05,2.5,5.5,6.8,3.05
Lycosidae,Artoria versicolor,F,5.575,2.425,1.85,3.15,2.125,1.6,0.725,1.3,1.275,0.875,1.375,0.5,0.75,1.25,0.775,1.75,0.4,0.925,1.525,0.875,2.05,0.8,1.65,2.275,1.05
Lycosidae,Venator spenceri,F,11.1,5.55,4.45,5.55,5,4.05,1.8,2.85,2.8,1.85,3.95,1.6,1.6,2.3,1.5,3.2,1.55,2.35,2.85,1.75,3.95,1.5,3.25,4.3,2.5
Linyphiidae,Erigone prominens,F,1.507692308,0.753846154,0.492307692,0.753846154,0.661538462,0.369230769,0.153846154,0.446153846,0.353846154,0.292307692,0.4,0.138461538,0.292307692,0.292307692,0.307692308,0.307692308,0.107692308,0.230769231,0.292307692,0.230769231,0.461538462,0.107692308,0.261538462,0.384615385,0.307692308
Lycosidae,Venatrix furcillata,F,13.05,5.75,4.75,7.3,5,4.3,2.05,3.45,3.1,2.55,4.05,1.9,3.05,2.9,1.95,4.5,1.5,2.6,2.5,1.55,5,1.75,3.95,4.9,2.55
Lycosidae,Artoria triangularis,M,3.4,1.775,1.275,1.625,1.175,1.1,0.3,0.825,0.75,0.625,1.125,0.375,0.65,0.55,0.625,1.05,0.375,0.65,0.625,0.375,1.4,0.5,1.225,1.4,0.75
Lycosidae,Venonia micarioides,M,3.325,1.8,1.125,1.525,0.775,NA,NA,NA,NA,NA,1.125,0.475,1.075,1.15,0.8,1.4,0.5,1.025,1.25,0.875,1.9,0.525,1.65,2.05,0.875
Lycosidae,Venatrix pictiventris,M,7.4,4.3,2.85,3.05,2.2,2.25,1.45,2.25,2.2,1.65,2.8,1.3,1.8,1.6,1.3,2.85,1.25,1.3,2.1,1.2,3.55,1.4,2.55,2.9,1.55
Lycosidae,Kangarosa tristicula,F,8,3.9,3.3,4.1,3.1,2.6,1.3,1.975,1.675,0.75,2.5,0.775,2.45,1.975,1.225,2.125,1.25,1.3,NA,NA,2.525,1.1,1.425,1.925,1.075
Zodariidae,Zillimata scintillans,F,6.175,3,1.75,3.175,2.5,1.475,0.5,1.45,1.375,1.225,1.3,0.55,0.875,1.25,0.775,1.25,0.6,0.9,1.225,0.725,1.55,0.65,1.15,1.85,0.8
Zodariidae,Storosa obscura,M,8.475,4.75,3.25,3.725,2.525,2.45,1.175,2.575,8.475,8.475,2.6,0.925,2.025,1.975,1.5,2.35,0.7,1.425,2.325,1.3,2.75,0.55,1.9,3.5,1.65
Zodariidae,Pentasteron isobelae,M,4.65,2.4,1.05,2.275,1.275,1.875,0.55,1.6,1.5,1.075,1.65,0.375,1.125,1.15,0.9,1.6,0.475,1,1.55,0.625,1.75,0.725,1.775,NA,NA
Zodariidae,Neostorena minor,M,6.575,3.425,2.425,3.15,2.225,1.8,0.9,1.9,1.9,1.35,1.4,0.65,1.3,1.375,0.9,1.675,0.8,1.125,1.475,1,2.025,0.875,1.8,2.8,1.35
Zodariidae,Habronestes pictus,M,5.125,2.725,2.025,2.4,1.775,2.05,0.725,1.55,1.725,1.35,1.8,0.775,1.225,1.725,1.15,1.7,0.425,0.85,1.875,1.15,2.3,0.6,1.525,2.875,1.3
Zodariidae,Hetaerica scenica,M,5.45,2.8,2.1,2.65,1.575,1.775,0.575,1.4,1.3,1.1,1.55,0.675,1.15,1.375,1.075,1.3,0.625,0.8,1.275,0.85,1.8,0.775,1.425,2.125,1.075
Zodariidae,Nostera nadgee,F,5.625,2.875,1.725,2.75,2.125,1.4,0.775,1.2,0.8,0.675,1.35,0.65,0.975,0.9,0.7,1.125,0.625,0.6,0.85,0.75,1.6,0.65,1.225,1.625,0.875
Zodariidae,Pentasteron simplex,M,3.2,1.707692308,0.953846154,1.492307692,0.907692308,1.261538462,0.384615385,1.061538462,0.969230769,0.723076923,0.923076923,0.446153846,0.769230769,0.861538462,0.615384615,0.892307692,0.261538462,0.692307692,0.861538462,0.461538462,1.184615385,0.415384615,1.107692308,1.492307692,0.507692308
Zodariidae,Habronestes hunti,M,8.225,4.6,2.825,3.625,2.5,3.45,1.05,2.65,2.55,2.375,2.75,0.875,2.4,2.35,2,3.875,0.75,2.15,2.4,1.3,2.775,1.125,3.1,4.45,1.875
Zodariidae,Asteron hunti,M,2.615384615,1.476923077,0.984615385,1.138461538,0.907692308,0.815384615,0.307692308,0.615384615,0.630769231,0.476923077,0.769230769,0.292307692,0.538461538,0.538461538,0.553846154,0.630769231,0.323076923,0.430769231,0.6,0.384615385,0.707692308,0.338461538,0.646153846,0.846153846,0.446153846
Thomisidae,Saccodomus formivus,F,5.825,2.275,1.975,3.55,3.65,1.525,0.675,1.175,1.125,0.875,1.55,0.625,1.125,1.275,0.875,1.25,0.6,0.8,0.725,0.525,1.15,0.575,0.9,0.825,0.55
Trochanteriidae,Rebilus griswoldi,F,16.4,7.2,6.25,9.2,7.05,5.05,3.2,4.75,4.5,2.15,5.45,3.5,4.35,4.6,2.15,5.35,2.95,4.5,4.25,1.75,6.2,2.45,4.2,5.25,2.1
Corinnidae,Nyssus coloripes,F,4.825,2.4,1.775,2.425,1.65,1.825,0.575,1.4,1.475,1.1,1.75,0.5,1.125,1.4,1.025,1.65,0.575,1.2,1.625,1,2.325,0.525,2.375,2.4,1.125
Corinnidae,Nyssus albopunctata,M,8.05,4.05,2.975,4,2.475,2.3,0.725,1.75,1.625,1.1,2.375,1.125,1.55,1.4,0.925,2.15,1.025,1.45,1.925,1.25,2.5,1.05,1.625,2.35,1.475
